Country,Defence budget per capita,Year,Defence budget % GDP,Active Armed Forces,Population,GDP (2015 USD),Unemployment rate,Secondary education attainment rate,GDP per capita,GDP per capita % change,Defence budget per capita % change,Defence budget % GDP % change,Active Armed Forces per capita
Poland,531.6506360533665,2024,3.25,164.0,36687353.0,638035044435.602,2.472,66.9982604980469,17391.14414811017,0.5056692111244265,21.92242833052278,13.636363636363647,4.47020530480899e-06
Portugal,253.7875,2013,1.23,,,,,,,,,,
Portugal,231.1015911872705,2014,1.12,,10401062.0,195923730996.63,13.897,34.2099990844727,18836.896751180793,,-8.93893860522268,-8.943089430894302,
Portugal,218.02867383512543,2015,1.26,33.0,10358076.0,199038523119.639,12.447,35.4300003051758,19215.78130143465,2.011395800797744,-5.656783791484832,12.5,3.185919856158615e-06
Portugal,208.54517012123583,2016,1.19,30.0,10325452.0,203027535953.584,11.068,36.7700004577637,19662.82308547694,2.326430432515969,-4.349658944887724,-5.555555555555558,2.905441815041124e-06
Portugal,213.3732612055641,2017,1.14,31.0,10300300.0,209757331881.699,8.869,37.6199989318848,20364.196371144433,3.567001964156069,2.3151296582517356,-4.201680672268915,3.009621078997699e-06
Portugal,216.88560885608857,2018,1.07,27.0,10283822.0,215937375267.637,6.994,37.0800018310547,20997.774491588534,3.111235567055637,1.6461048730659344,-6.140350877192969,2.62548301594485e-06
Portugal,209.7130167406901,2019,1.11,27.0,10286263.0,221866334776.915,6.464,40.6800003051758,21569.18744707529,2.721302468105158,-3.3070853124965716,3.738317757009346,2.6248599710118244e-06
Portugal,215.45454545454547,2020,1.25,27.0,10297081.0,203663018337.793,6.801,43.4500007629395,19778.713825577655,-8.301071266087101,2.7378027378027525,12.612612612612594,2.622102322007567e-06
Portugal,216.07268090532355,2021,1.15,27.0,10361831.0,214984151691.324,6.577,47.285888671875,20747.699097903063,4.899131869092144,0.2868983104877154,-8.000000000000007,2.6057170783812243e-06
Portugal,185.30561588582063,2022,1.01,27.0,10434332.0,230002604720.83,6.011,48.120044708252,22042.868170270027,6.2424708699282405,-14.239220289484035,-12.173913043478258,2.587611741700379e-06
Portugal,200.7477505429724,2023,0.97,26.0,10578174.0,235813117071.956,6.509,47.4094543457031,22292.421836883757,1.132128834986701,8.333333333333371,-3.960396039603964,2.457891125632836e-06
Portugal,223.54328265591064,2024,1.02,22.0,10578174.0,235813117071.956,6.384,47.4094543457031,22292.421836883757,1.132128834986701,11.35531135531136,5.154639175257736,2.0797540293816307e-06
Romania,110.6,2013,1.27,,,,,,,,,,
Romania,123.76988984088128,2014,1.4,,19908979.0,172441103432.375,6.802,62.9799995422363,8661.473972742398,,11.907676167162107,10.236220472440927,
Romania,108.54241338112308,2015,1.4,71.0,19815616.0,177885131240.315,6.812,64.6600036621094,8977.01748158195,3.6430694109635953,-12.303054062126629,0.0,3.583032695021946e-06
Romania,118.63903011341417,2016,1.46,71.0,19702267.0,182972525962.275,5.901,66.4199981689453,9286.876782365958,3.4516954146490475,9.302001326282472,4.285714285714293,3.6036462200009775e-06
Romania,154.76429675425038,2017,1.73,69.0,19588715.0,197967999561.02,4.927,67.4499969482422,10106.226955725273,8.822666570909043,30.449731935857784,18.493150684931514,3.5224362598567593e-06
Romania,177.53136531365314,2018,1.8,69.0,19473970.0,210085482250.697,4.187,68.322151184082,10788.015091462963,6.7462183337516635,14.710801545885289,4.046242774566489,3.5431912445176818e-06
Romania,187.0413392552101,2019,1.98,70.0,19371648.0,218327690029.17,3.912,69.1800003051758,11270.475802015915,4.472191654002633,5.356785222011462,9.999999999999986,3.6135283895309268e-06
Romania,189.00886117492612,2020,2.08,69.0,19265250.0,210305491425.986,5.035,71.0299987792969,10916.312605649342,-3.142397912812389,1.0519182163422292,5.050505050505061,3.5815782302331917e-06
Romania,197.9407076824992,2021,1.95,71.0,19122059.0,221968423307.804,5.59,72.1699981689453,11607.977117307502,6.3360636200562315,4.725623154412184,-6.25,3.7129892758933542e-06
Romania,224.2786224014893,2022,1.88,72.0,19048502.0,230770154206.928,5.614,73.0299987792969,12114.871510994828,4.3667763001664195,13.305961682847279,-3.589743589743588,3.7798247862220346e-06
Romania,339.7269624573379,2023,2.41,70.0,19059479.0,236318495899.176,5.589,73.0299987792969,12399.000827838789,2.345293687895067,51.47540983606558,28.19148936170215,3.672713194311345e-06
Romania,372.8172510083773,2024,2.42,70.0,19059479.0,236318495899.176,5.379,73.0299987792969,12399.000827838789,2.345293687895067,9.740259740259738,0.4149377593360981,3.672713194311345e-06
Russia,458.2000000000001,2013,3.18,,,,,,,,,,
Russia,438.0293757649939,2014,3.17,,144237223.0,1390921151162.46,5.212,93.7110977172852,9643.288481520889,,-4.402144093192096,-0.3144654088050425,
Russia,346.3918757467145,2015,3.82,798.0,144640716.0,1363482182197.71,5.615,94.0891723632812,9426.683024700389,-2.246178336732052,-20.920400568623876,20.504731861198742,5.517118706740915e-06
Russia,289.18263590144704,2016,3.46,831.0,145015460.0,1366123111808.03,5.591,94.5656661987305,9420.534278262676,-0.06522704138456348,-16.51575682078048,-9.424083769633507,5.7304235010529224e-06
Russia,293.96058732612056,2017,2.89,900.0,145293260.0,1391065651845.68,5.238,91.3463897705078,9574.192580204202,1.6310996531914812,1.6522262513375185,-16.473988439306353,6.194368548134993e-06
Russia,277.22878228782287,2018,2.7,900.0,145398106.0,1430116278515.49,4.871,91.5161361694336,9835.865939790783,2.7331115119578975,-5.691853180214046,-6.57439446366782,6.189901813439028e-06
Russia,264.772804919713,2019,2.74,900.0,145453291.0,1461551317106.21,4.513,91.4410934448242,10048.251964998233,2.1593017483925614,-4.493031807634573,1.4814814814814836,6.187553363780542e-06
Russia,234.12208729898265,2020,2.87,900.0,145245148.0,1422766794794.99,5.62,91.8141174316406,9795.62356737032,-2.5141526954928217,-11.576233303123617,4.744525547445244,6.19642041330014e-06
Russia,257.6251195409627,2021,2.64,900.0,144746762.0,1502645054025.01,4.749,92.1800003051758,10381.199781346473,5.977937085360607,10.038793226700493,-8.013937282229966,6.217755669035277e-06
Russia,386.7887061743717,2022,3.29,1190.0,144236933.0,1471544636157.84,3.867,91.9972534179688,10202.273478442863,-1.723560924288492,50.13625490540407,24.62121212121211,8.25031408564407e-06
Russia,388.99472541110765,2023,3.72,1100.0,143826130.0,1524520243059.52,3.076,92.6996612548828,10599.744587854238,3.8959072235342562,0.5703422053231932,13.06990881458967,7.648123466855431e-06
Russia,627.98014272417,2024,5.51,1134.0,143826130.0,1524520243059.52,2.527,92.6996612548828,10599.744587854238,3.8959072235342562,61.436672967863906,48.11827956989245,7.884520010376418e-06
Slovakia,180.7125,2013,1.02,,,,,,,,,,
Slovakia,185.65483476132192,2014,1.04,,5418649.0,84789118228.7254,11.536,85.3199996948242,15647.649114885537,,2.734915825591422,1.9607843137254832,
Slovakia,152.90322580645162,2015,1.01,16.0,5423801.0,89178548717.3324,11.492,86.6900024414062,16442.076086001754,5.076973322212885,-17.641129032258075,-2.8846153846153855,2.9499607378663045e-06
Slovakia,165.90926867422763,2016,1.09,16.0,5430798.0,90915585456.2015,9.679,87.3199996948242,16740.74149990508,1.8164702093648621,8.506061791161535,7.920792079207928,2.9461600302570634e-06
Slovakia,187.7318392581144,2017,1.17,16.0,5439232.0,93529165116.4867,8.142,87.0699996948242,17195.2888048325,2.715216078869598,13.153316121678916,7.339449541284382,2.941591754129995e-06
Slovakia,209.0147601476015,2018,1.23,16.0,5446771.0,97328432384.4156,6.544,87.7799987792969,17869.014941956546,3.9180856150244248,11.33687336873368,5.128205128205132,2.9375202298756456e-06
Slovakia,278.5377519644687,2019,1.78,16.0,5454147.0,99543529380.5199,5.761,87.6999969482422,18250.980287205293,2.1375847884703036,33.26224031631626,44.715447154471555,2.933547628987631e-06
