Country,Defence budget per capita,Year,Defence budget % GDP,Active Armed Forces
Russia,234.12208729898265,2020,2.87,900.0
Russia,257.6251195409627,2021,2.64,900.0
Russia,386.7887061743717,2022,3.29,1190.0
Russia,388.99472541110765,2023,3.72,1100.0
Russia,627.98014272417,2024,5.51,1134.0
Slovakia,180.7125,2013,1.02,
Slovakia,185.65483476132192,2014,1.04,
Slovakia,152.90322580645162,2015,1.01,16.0
Slovakia,165.90926867422763,2016,1.09,16.0
Slovakia,187.7318392581144,2017,1.17,16.0
Slovakia,209.0147601476015,2018,1.23,16.0
Slovakia,278.5377519644687,2019,1.78,16.0
Slovakia,263.6790285526748,2020,1.76,16.0
Slovakia,276.5125916480714,2021,1.68,18.0
Slovakia,271.34036611852315,2022,1.73,18.0
Slovakia,350.7570586410177,2023,2.0,18.0
Slovakia,376.49394973627057,2024,2.0,13.0
Slovenia,231.075,2013,0.98,
Slovenia,259.1432068543452,2014,1.08,
Slovenia,211.42174432497012,2015,1.03,8.0
Slovenia,208.54517012123583,2016,1.0,7.0
Slovenia,220.69938176197837,2017,0.98,7.0
Slovenia,247.49446494464945,2018,1.1,7.0
Slovenia,242.101127434233,2019,1.16,7.0
Slovenia,224.01050213324584,2020,1.13,7.0
Slovenia,299.9330570608862,2021,1.35,7.0
Slovenia,308.10735339745577,2022,1.47,6.0
Slovenia,355.90443686006824,2023,1.47,6.0
Slovenia,406.64287930499535,2024,1.58,6.0
Spain,305.1375,2013,1.05,
Spain,256.24235006119955,2014,0.91,
Spain,255.7825567502987,2015,1.09,122.0
Spain,190.00782166601488,2016,0.81,123.0
Spain,250.0038639876352,2017,1.01,121.0
Spain,266.7343173431734,2018,1.06,120.0
Spain,205.6645029039973,2019,0.91,120.0
Spain,213.89891696750905,2020,1.07,123.0
Spain,241.7596429709914,2021,1.05,123.0
Spain,233.10269934843316,2022,1.03,124.0
Spain,300.75395594166923,2023,1.19,124.0
Spain,302.2246354328266,2024,1.12,122.0
Sweden,664.5875,2013,1.12,
Sweden,626.5850673194615,2014,1.1,
Sweden,551.2066905615293,2015,1.15,30.0
Sweden,538.509972624169,2016,1.12,30.0
Sweden,545.7959814528593,2017,1.1,30.0
Sweden,539.590405904059,2018,1.11,30.0
Sweden,510.11274342330034,2019,1.19,15.0
Sweden,536.6918280275681,2020,1.29,15.0
Sweden,610.4430985017533,2021,1.3,15.0
Sweden,563.2702451132485,2022,1.38,15.0
Sweden,641.9515978901644,2023,1.57,15.0
Sweden,850.7880856345021,2024,2.01,15.0
Türkiye,136.275,2013,1.3,
Türkiye,122.8029375764994,2014,1.25,
Türkiye,100.04778972520909,2015,0.98,511.0
Türkiye,100.1016816581932,2016,1.0,355.0
Türkiye,89.74497681607419,2017,0.92,355.0
Türkiye,138.1771217712177,2018,1.65,355.0
Türkiye,119.83600956610864,2019,1.59,355.0
Türkiye,103.44929438792256,2020,1.51,355.0
Türkiye,87.63787057698438,2021,1.17,355.0
Türkiye,55.15048091839901,2022,0.69,355.0
Türkiye,77.21067328575862,2023,0.78,355.0
Türkiye,125.00775674837108,2024,1.06,355.0
United Kingdom,903.5625,2013,2.25,
United Kingdom,934.0758873929008,2014,2.05,
United Kingdom,857.9569892473119,2015,2.03,155.0
United Kingdom,761.8850215095816,2016,1.98,152.0
United Kingdom,739.9381761978361,2017,1.98,150.0
United Kingdom,791.4575645756457,2018,2.06,148.0
United Kingdom,735.2101127434233,2019,2.1,148.0
United Kingdom,727.2563176895308,2020,2.23,149.0
United Kingdom,823.4937838699394,2021,2.3,153.0
United Kingdom,793.4315854793671,2022,2.34,150.0
United Kingdom,809.6090598820974,2023,2.22,144.0
United Kingdom,870.6422587651257,2024,2.26,141.0
United States,1975.9875,2013,3.8,
United States,1829.4736842105265,2014,3.47,
United States,1731.0155316606931,2015,3.25,1381.0
United States,1697.0942510754792,2016,3.17,1347.0
United States,1678.597372488408,2017,3.07,1348.0
United States,1676.4907749077493,2018,3.06,1359.0
United States,1819.402118209771,2019,3.49,1380.0
United States,1810.751558910404,2020,3.71,1388.0
United States,1713.4714695569014,2021,3.26,1395.0
United States,1828.7899472541112,2022,3.23,1360.0
United States,1991.3000310269936,2023,3.32,1326.0
United States,2081.746819733168,2024,3.32,1316.0
