Country,Year,log_Active Armed Forces per capita,Unemployment rate,Secondary education attainment rate,log_GDP per capita,log_Defence budget per capita,Defence budget % GDP,GDP per capita % change,Defence budget per capita % change,Defence budget % GDP % change,Education Interpolated
Germany,2015,-6.123259581528577,4.612,83.0800018310547,10.643303863393745,6.058101000454626,1.08,0.7765076569947515,-16.88428059395801,-2.7027027027027084,False
Germany,2016,-6.142567840181242,4.104,83.0100021362305,10.657919459602114,6.0767879535420946,1.09,1.4722926294874261,1.886264688285899,0.92592592592593,False
Germany,2017,-6.1350690125132745,3.781,82.9806747436523,10.680980165098308,6.163908461674274,1.14,2.3328659335726476,9.102814956098504,4.587155963302725,False
Germany,2018,-6.13250323448374,3.384,83.4599990844727,10.68907746692223,6.204535398458614,1.15,0.8130173636764493,4.146350134021581,0.8771929824561431,False
Germany,2019,-6.1292182528502535,3.163,83.5707550048828,10.696652724018522,6.190829144164477,1.24,0.7604021944160655,-1.3612751270310253,7.826086956521738,False
Germany,2020,-6.113596458093587,3.881,83.6999969482422,10.654022291003642,6.225704818033151,1.34,-4.173453208481847,3.549096221115211,8.064516129032274,False
Germany,2021,-6.119469333433704,3.594,80.9400482177734,10.689641610442697,6.263534871503291,1.3,3.6261286867129927,3.85547191093889,-2.985074626865669,False
Germany,2022,-6.126678087993597,3.12,80.7969970703125,10.696037206186615,6.171086994522308,1.32,0.6416091236709498,-8.830326988796788,1.538461538461533,False
Germany,2023,-6.131466672023024,3.068,80.7969970703125,10.69956980384316,6.372176538158122,1.48,0.3538844633498295,22.273425499231948,12.12121212121211,True
Greece,2015,-4.326388526943889,24.981,57.9300003051758,9.79705589807022,6.0267082880467635,2.43,0.43122550845144936,-18.842773614278986,0.8298755186721962,False
Greece,2016,-4.322229396661118,23.514,54.6399993896484,9.800897025668823,5.980839272066615,2.39,0.3848514183796281,-4.483293438085467,-1.6460905349794275,False
Greece,2017,-4.33433630429526,21.413,59.9743156433105,9.817498656877618,5.996503991583557,2.32,1.674020407129695,1.5788054396258744,-2.9288702928870425,False
Greece,2018,-4.325240334689576,19.179,60.8411026000977,9.839963930080073,5.977408659758109,2.23,2.271951777412662,-1.891417091847447,-3.87931034482758,False
Greece,2019,-4.317169368103687,17.045,63.7433700561523,9.86353372291216,5.891470542050859,2.34,2.3849755627158187,-8.23489841880438,4.932735426008961,False
Greece,2020,-4.31502344703797,15.899,65.2699966430664,9.769210246361046,5.899335223589747,2.64,-9.001164526817163,0.7895689382375837,12.820512820512842,False
Greece,2021,-4.302855422138117,14.656,67.1153335571289,9.86438118875405,6.308549503472018,3.58,9.984684950993339,50.56343130651217,35.606060606060595,False
Greece,2022,-4.370299235238945,12.426,68.630744934082,9.932827658516906,6.305961570693299,3.6,7.084330092086688,-0.25845869675529265,0.5586592178770999,False
Greece,2023,-4.367296325937309,11.066,68.630744934082,9.958884021942593,6.237927012648159,3.07,2.6398798195508277,-6.577181208053695,-14.722222222222225,True
Hungary,2015,-5.8986818002820165,6.813,75.0999984741211,9.450697995087468,4.624340102095812,0.88,3.9542826126543584,3.35230866540166,20.547945205479444,False
Hungary,2016,-5.8957306942335626,5.115,76.0599975585938,9.475420396127099,4.596884093299897,0.84,2.503053361526275,-2.7082518576456605,-4.545454545454552,False
Hungary,2017,-5.856704440740132,4.156,76.9970626831055,9.519911459039731,4.915950884453845,1.05,4.549563298288817,37.58432159932974,25.0,False
Hungary,2018,-5.855436571223604,3.708,78.1045227050781,9.573414488685724,4.995840035178504,1.05,5.496018791865764,8.316699274375306,0.0,False
